,0
0,darkslategray
1,dimgray
2,darkgray
3,gray
4,darkolivegreen
5,rosybrown
6,silver
7,lightgray
8,lightslategray
9,darkkhaki
10,peru
11,tan
12,black
13,sienna
14,teal
15,gainsboro
16,saddlebrown
17,antiquewhite
18,navajowhite
19,wheat
