,0
0,gray
1,darkslategray
2,dimgray
3,darkgray
4,black
5,rosybrown
6,saddlebrown
7,darkolivegreen
8,sienna
9,tan
10,silver
11,peru
12,lightslategray
13,burlywood
14,darkkhaki
15,darksalmon
16,lightgray
17,darkseagreen
18,wheat
19,slategray
