,0
0,dimgray
1,darkslategray
2,gray
3,darkgray
4,darkolivegreen
5,black
6,tan
7,rosybrown
8,sienna
9,silver
10,lightslategray
11,saddlebrown
12,darkkhaki
13,peru
14,lightgray
15,darkseagreen
16,wheat
17,slategray
18,burlywood
19,darksalmon
