,0
0,darkslategray
1,dimgray
2,gray
3,darkgray
4,darkolivegreen
5,tan
6,black
7,rosybrown
8,lightslategray
9,silver
10,sienna
11,darkkhaki
12,saddlebrown
13,peru
14,lightgray
15,darkseagreen
16,burlywood
17,slategray
18,gainsboro
19,wheat
