painting,title,img,inceptionYear,name,genderLabel,countryLabel,movementLabel
http://www.wikidata.org/entity/Q60474600,Portrait of a Woman,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Jacques%20Henner%20-%20Portrait%20of%20a%20Woman%20-%201980.267%20-%20Cleveland%20Museum%20of%20Art.tif,1877-01-01T00:00:00Z,Jean-Jacques Henner,male,France,Symbolism
http://www.wikidata.org/entity/Q28016569,The Player Schneklud,http://commons.wikimedia.org/wiki/Special:FilePath/Gauguin%20-%20Der%20Violoncellist%20Upaupa%20Schneklud%201894.jpg,1894-01-01T00:00:00Z,Paul Gauguin,male,France,synthetism
http://www.wikidata.org/entity/Q930535,Tahitian Women on the Beach,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20056.jpg,1890-01-01T00:00:00Z,Paul Gauguin,male,France,synthetism
http://www.wikidata.org/entity/Q28016569,The Player Schneklud,http://commons.wikimedia.org/wiki/Special:FilePath/Gauguin%20-%20Der%20Violoncellist%20Upaupa%20Schneklud%201894.jpg,1894-01-01T00:00:00Z,Paul Gauguin,male,France,primitivism
http://www.wikidata.org/entity/Q1422666,Vairumati,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20135.jpg,1897-01-01T00:00:00Z,Paul Gauguin,male,France,synthetism
http://www.wikidata.org/entity/Q930535,Tahitian Women on the Beach,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20056.jpg,1890-01-01T00:00:00Z,Paul Gauguin,male,France,primitivism
http://www.wikidata.org/entity/Q1422666,Vairumati,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20135.jpg,1897-01-01T00:00:00Z,Paul Gauguin,male,France,primitivism
http://www.wikidata.org/entity/Q18005116,Charles Robert Darwin,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Robert%20Darwin%20by%20John%20Collier.jpg,1881-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q18005116,Charles Robert Darwin,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Robert%20Darwin%20by%20John%20Collier.jpg,1883-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q20418845,Mrs Campbell McInnes (later Angela Thirkell),http://commons.wikimedia.org/wiki/Special:FilePath/Collier-Angela%20McInnes.jpg,1914-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q27882515,A Fallen Idol,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Collier%20-%20A%20Fallen%20Idol%20-%20M1921-1-11%20-%20Auckland%20Art%20Gallery.jpg,1913-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q28050324,"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20Ashley-Cooper%2C%207th%20Earl%20of%20Shaftesbury%20by%20John%20Collier.jpg,1877-01-01T00:00:00Z,John Collier,male,United Kingdom,Pre-Raphaelite Brotherhood
http://www.wikidata.org/entity/Q17490669,Louis-Alfred Natanson,http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Vallotton%20Alfred-Athis%20Natanson.jpg,1906-01-01T00:00:00Z,Félix Vallotton,male,Switzerland,Les Nabis
http://www.wikidata.org/entity/Q17491109,Concierge,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20Vallotton%2C%201888%20-%20Concierge.gif,1888-01-01T00:00:00Z,Félix Vallotton,male,Switzerland,Les Nabis
http://www.wikidata.org/entity/Q17493952,"Henriette Bernheim, stepmother of the artist",http://commons.wikimedia.org/wiki/Special:FilePath/Madame%20Alexandre%20Bernheim.jpg,1902-01-01T00:00:00Z,Félix Vallotton,male,Switzerland,Les Nabis
