,0
0,darkslategray
1,darkgray
2,gray
3,dimgray
4,darkolivegreen
5,silver
6,tan
7,saddlebrown
8,sienna
9,lightslategray
10,darkkhaki
11,lightgray
12,darkseagreen
13,rosybrown
14,cadetblue
15,black
16,gainsboro
17,steelblue
18,indianred
19,peru
