,0
0,darkslategray
1,dimgray
2,darkgray
3,gray
4,tan
5,darkolivegreen
6,silver
7,lightslategray
8,rosybrown
9,black
10,sienna
11,saddlebrown
12,darkkhaki
13,peru
14,lightgray
15,wheat
16,darkseagreen
17,burlywood
18,slategray
19,darksalmon
