,0
0,dimgray
1,darkslategray
2,gray
3,darkgray
4,darkolivegreen
5,black
6,silver
7,rosybrown
8,sienna
9,darkkhaki
10,lightslategray
11,lightgray
12,tan
13,peru
14,saddlebrown
15,slategray
16,darksalmon
17,cadetblue
18,darkseagreen
19,wheat
